Adelino Avelar
Agostinho Bernardes
Alda Peseiro
Alípio Moutinho
Amélia Caldeira
Amélia Loio
Anabela Manso
André Monte
Anita Araripe
Anselmo Diegues
Antônio Guedez
Barnabé Curvelo
Barnabé Sarmiento
Bruna Porciúncula
Carmem León
Crispim Franca
Dina Brandão
Dina Varejão
Dionísio Saldaña
Elias Guarabira
Eloi Souto Maior
Elvira Quintanilla
Emanuela Lima
Emília Peláez
Enia Montenegro
Evangelista Pasos
Fabiano Matoso
Faustino Tavera
Feliciana Quintero
Feliciana Vianna
Florinda Thamily
Flávia Roriz
Gertrudes Teixeira
Guilhermina Roriz
Guálter, Walter Cezar
Guálter, Walter Cipriano
Hermenegildo Campello
Hernâni Bogalho
Honório Nogueira
Ifigénia Goulart
Inaiá Linhares
Isadora Covinha
Isadora Rua
Jeremias Castelo
Jerónimo Díaz
Josefina Osorio
Jutaí Rodríguez
Jéssica Mayor
Jónatas Lampreia
Laura Chávez
Leonel Dornelles
Leonir Vaz
Letícia Passarinho
Lorena Felgueiras
Luize Girón
Luzia Palha
Marcela Campelo
Marcelo Jordão
Marcos Santarém
Moisés Regueira
Máximo Higuera
Nazaré Rodovalho
Nelson Osório
Nicolau Gouveia
Nilza Rebello
Noé Ochoa
Olívia Affonso
Oriana Lampreia
Osvaldo Carrasco
Ovídio Casquero
Ovídio Ximenes
Pandora Damasceno
Paulino Albernaz
Políbio Diegues
Quirina Serralheiro
Raquel Albernaz
Rita Mangueira
Roberto Gomide
Romão Picanço
Ronaldo Carvalhosa
Roquita Granja
Rosaura Padilha
Rosário Pessanha
Rúben Mantas
Salomé Quintal
Simeão Dias
Sofia Alencar
Tarrataca Pegado
Tiago Malheiros
Tiago Quaresma
Tristão Mesquita
Valentim Seabra
Valmor Souza
Verônica Barreto
Violeta Sesimbra
Vivaldo Cezar
Vlademiro Mourato
Xavier Francia
Zulmira Cintra
Érica Pavía
